index,0,1
399,ALBGN,"Lüneburg 
          Nordkopf"
400,ALBGW,Lüneburg-Westseite
401,ALCH,Lüchow
402,ALD,Lübeck-Dänischburg
403,ALD-G,"Lübeck-Dänischburg 
          Gbf"
404,ALD-P,"Lübeck-Dänischburg 
          Pbf"
405,ALE,Leitstade
406,ALF,"List 
          (Sylt) Fähre (Hafen)"
407,ALFD,Lentföhrden
408,ALG,"Langenhorn 
          (Schleswig)"
409,ALGB,"Schönkirchen 
          Landgraben"
410,ALGD,Lägerdorf
411,ALGE,Lübeck-Genin
412,ALGM,"Elmshorn 
          Langenmoor"
413,ALH,Lindholm
414,ALHA,"Lübeck 
          Hafen"
415,ALHG,Lehnshallig
416,ALIS,"List 
          (Sylt)"
417,ALISA,"List 
          (Sylt) Alte Bahnhofstraße"
418,ALISB,"List 
          (Sylt) Am Brink"
419,ALISG,"List 
          (Sylt) Mövengrund"
420,ALISH,"List 
          (Sylt) Süderhörn"
421,ALISK,"List 
          (Sylt) Kurhaus"
422,ALISM,"List 
          (Sylt) Mellhörn"
423,ALISS,"List 
          (Sylt) Schule"
424,ALJ,Lütjenburg
425,ALJK,Lütjenkamp
426,ALK,Leck
427,ALKI,"Lensahn, 
          Kirche"
428,ALKN,Lübeck-Kücknitz
429,ALKO,"Lübeck 
          Konstinbahnhof"
430,ALN,Lübeck-Niendorf
431,ALOF,Hamburg-Lokstedt
432,ALR,"Lübeck 
          Hgbf"
433,ALR-A,"Lübeck 
          Hgbf (La)"
434,ALR-H,"Lübeck 
          Hgbf (Lha)"
435,ALR-M,"Lübeck 
          Hgbf (Mtm)"
436,ALR-N,"Lübeck 
          Hgbf (Ntm)"
437,ALRD,"Lübeck 
          Duve"
438,ALRK,"Lübeck 
          Kirschenallee"
439,ALRT,"Lübeck 
          Schlutuper Tannen"
440,ALS,Lensahn
441,ALSC,Lübeck-Schlutup
442,ALSD,Lensterstrand
443,ALSK,"Lübeck 
          Skandinavienkai"
444,ALSKS,"Lübeck 
          Nordlandkai (Schiff)"
445,ALST,"Hamburg-Langenfelde 
          (S-Bahn)"
446,ALTH,"Lübeck-Travemünde 
          Hafen"
447,ALTHO,"Lübeck-Travemünde 
          Ostpreußenkai"
448,ALTK,"Lübeck-Travemünde 
          Skandinavienkai"
449,ALTS,"Lübeck-Travemünde 
          Strand"
450,ALU,Lunden
451,"ALU 
          N","Lunden 
          Nord"
452,"ALU 
          S","Lunden 
          Süd"
453,ALUB,Lauenbrück
454,ALUH,Lühe
455,AM,"Maschen 
          Rbf"
456,AM-E,"Maschen 
          Rbf Wasch/Entseuch"
457,AM-N,"Maschen 
          Rbf (Mnwf)"
458,AM-O,"Maschen 
          Rbf (Mnof)"
459,AM-S,"Maschen 
          Rbf (Msof)"
460,AM-W,"Maschen 
          Rbf (Mswf)"
461,AMA,"Maschen 
          Pbf"
462,AMAG,Malente-Gremsmühlen
463,AMAR,Marne
464,AMBH,"Norderstedt 
          Moorbekhalle"
465,AMD,Meckelfeld
466,AMF,Meldorf
467,AMH,Mulmshorn
468,AMI,Mildstedt
469,AMKT,Möskental
470,AML,"Hamburg 
          Mittlerer Landweg"
471,AMLI,"Mölln 
          (Lauenburg) Industriegleis"
472,AMLN,"Mölln 
          (Lauenburg)"
473,AMLS,"Hamburg 
          Mittlerer Landweg (Übergabestelle)"
474,AMM,"Morsum 
          (Sylt)"
475,AMMH,"Munkmarsch 
          Hafen"
476,AMMHM,"Munkmarsch 
          Mitte"
477,AMML,"Morsum 
          (Sylt) Litjemuasem"
478,AMMLS,"Morsum 
          (Sylt) Skellinghörn"
479,AMO,Hamburg-Moorburg
480,AMOO,Hamburg-Moorfleet
481,AMOT,"Hamburg-Moorburg 
          Tanklager"
482,AMR,Meimersdorf
483,AMR-F,"Meimersdorf 
          (Mf)"
484,AMR-M,"Meimersdorf 
          (Mitte)"
485,AMRO,"Meimersdorf 
          Ost"
486,AMRS,Mechtersen
487,AMS,Mulsum-Essel
488,AMSB,"Maasbüll 
          (b Niebüll)"
489,AMSS,Meeschensee
490,AMUE,Müssen
491,AMX,Marxen
492,AN,Neumünster
493,"AN 
          1","Neumünster 
          EST"
494,AN-G,"Neumünster 
          Gbf"
495,ANB,Niebüll
496,ANBN,"Niebüll 
          NVAG"
497,ANBS,Süderlügum
498,ANDM,"Norderstedt 
          Mitte"
499,ANDS,Nordsode
500,ANEB,"Hamburg 
          Norderelbbrücke"
501,ANEK,"Neukirchen 
          (Holst)"
502,ANEU,"Neuhaus 
          (Oste)"
503,ANEZ,Neetzendorf
504,ANF,Nortorf
505,ANH,Nordhastedt
506,ANIB,"Norderstedt 
          Industriebahn"
507,ANL,"Neukloster 
          (Kr Stade)"
508,ANM,"Neumünster 
          Süd AKN"
509,ANMS,"Neumünster 
          Süd"
510,ANMS,"Neumünster 
          Süd"
511,ANN,"Neustadt 
          (Holst) Gbf"
512,ANNM,"Nörnum 
          Mitte"
513,ANOS,"Norddörfer 
          Schule (Sylt)"
514,ANR,Hamburg-Neugraben
515,ANRS,"Hamburg-Neugraben 
          (S-Bahn)"
516,ANSJ,"Neu 
          St Jürgen"
517,ANT,"Neustadt 
          (Holst)"
518,ANTB,Hamburg-Nettelnburg
519,ANTZ,Nützen
520,ANW,Neuwittenbek
521,ANWF,"Neu 
          Wulmstorf"
522,ANWS,Hamburg-Neuwiedenthal
523,ANZ,Nordholz
524,ANZA,"Nordholz 
          Bundeswehr"
525,AO,"Bad 
          Oldesloe"
526,AOBG,"Ottersberg 
          (Han)"
527,AOD,"Ottendorf 
          (Holstein)"
528,AODF,"Oldendorf 
          (Rotenburg/Wümme)"
529,AODT,Osterstedt
530,AOE,Oerel
531,AOES,"Oerel 
          Süd"
532,AOES,"Oerel 
          Süd"
533,AOF,Otterndorf
534,AOH,Hamburg-Othmarschen
535,AOHA,"Hamburg 
          Oberhafen"
536,AOHF,Osterhof
537,AOL,"Oldenburg 
          (Holst)"
538,"AOL 
          A","Oldenburg 
          (Holst) Gbf"
539,AON,Osterrönfeld
540,AONA,"Osterrönfeld 
          Awanst"
541,AONB,"Osterrönfeld 
          Brücke"
542,AOP,Hamburg-Ohlsdorf
543,AOPD,Oppendorf
544,AOPDK,"Oppendorf 
          Kraftwerk"
545,AOPS,"Hamburg-Ohlsdorf 
          (S-Bahn)"
546,AOR,Ohrstedt
547,AOS,Owschlag
548,AOSD,Ostersode
549,AOSO,"Osterholz-Scharmbeck 
          Ost"
550,AOST,Ostereistedt
551,AOTS,"Ottensen 
          (Kr Stade)"
552,AOTS,"Ottensen 
          (Kr Stade)"
553,AOTZ,Oetzen
